source_code,name,category_code,brand,price,currency,size,description
I078,Beef Burgers,FRZ,Farm Gate,3.80,GBP,4 pack,100 percent beef quarter-pounders.
I079,Sorbet Lemon,FRZ,Sweet Scoop,2.90,GBP,500 ml,Sharp and refreshing lemon sorbet.
I080,Frozen Spinach,FRZ,Cold Field,1.30,GBP,400 g,Chopped frozen leaf spinach.
I081,Waffles,FRZ,Morning Mill,2.50,GBP,6 pack,Crispy Belgian-style waffles.
I082,All Purpose Cleaner,HOU,Shine Home,2.20,GBP,750 ml,Multi-surface spray cleaner.
I083,Toilet Roll,HOU,Home Roll,3.80,GBP,9 rolls,Soft 3-ply toilet tissue.
I084,Sponge Scourers,HOU,Shine Home,1.10,GBP,3 pack,Non-scratch washing up scourers.
I085,Fabric Softener,HOU,Shine Home,3.60,GBP,1 L,Fresh linen fabric conditioner.
I086,Dishwasher Tablets,HOU,Shine Home,5.50,GBP,30 pack,All-in-one dishwasher tablets.
I087,Aluminium Foil,HOU,Home Roll,2.00,GBP,30 m,Heavy-duty aluminium foil roll.
I088,Cling Film,HOU,Home Roll,1.80,GBP,30 m,Food-grade cling film roll.
I089,Washing Up Gloves,HOU,Clean Hands,1.95,GBP,1 pair,Reusable rubber washing up gloves.
I090,Bathroom Cleaner,HOU,Shine Home,2.50,GBP,500 ml,Limescale-removing bathroom spray.
I091,Candles,HOU,Home Glow,4.20,GBP,3 pack,Unscented white pillar candles.
I092,Baking Powder,DRY,Golden Grain,0.85,GBP,100 g,Fast-action baking powder.
I093,Plain Flour,DRY,Golden Grain,1.10,GBP,1 kg,Plain white wheat flour.
I094,Self-Raising Flour,DRY,Golden Grain,1.15,GBP,1 kg,Self-raising flour for baking.
I095,Caster Sugar,DRY,Golden Grain,1.30,GBP,500 g,Fine caster sugar for baking.
I096,Honey,DRY,Meadow Gold,3.80,GBP,340 g,Pure set blossom honey.
I097,Passata,DRY,Harvest Tin,1.25,GBP,500 g,Smooth tomato passata.
I098,Soy Sauce,DRY,Golden Wok,2.10,GBP,150 ml,Dark soy sauce for cooking.
I099,Peanut Butter,SNK,Nut Path,2.95,GBP,340 g,Smooth roasted peanut butter.
I100,Sparkling Lemonade,DRK,Fizzy Vale,1.20,GBP,500 ml,Sparkling cloudy lemonade.
